7.9	11.8	8.0	48.8	594.7		 12.0	10.2	7.2	65.1	443.9	
11.9	11.2	9.1	68.0	535.0		6.7	8.1	9.5	45.8	287.0	
10.7	10.7	10.3	57.3	490.7		8.8	10.8	10.3	47.9	501.4	
9.9	12.5	9.4	57.9	662.6		9.4	11.4	11.5	54.8	549.8	
10.4	11.9	10.6	56.6	597.9		10.8	11.7	9.5	56.7	584.5	
6.9	10.5	10.8	45.9	471.7		6.7	8.6	13.2	38.1	322.7	
9.8	8.6	8.1	56.1	323.0		10.9	10.9	9.0	59.9	508.3	
13.2	8.7	9.6	77.9	329.4		7.6	10.2	10.7	46.1	445.9	
10.2	12.4	5.7	56.7	650.1		10.1	11.7	11.3	60.5	579.4	
10.1	6.8	12.3	59.2	203.5		11.3	11.1	10.2	64.4	525.3	
8.5	10.0	8.7	49.5	427.2		10.7	11.8	11.8	59.2	593.6	
9.9	6.1	7.6	50.6	167.4		12.2	9.7	10.6	70.3	410.2	
10.5	12.0	9.5	56.4	616.3		12.0	9.7	8.4	69.5	406.7	
10.9	11.7	7.1	63.1	585.3		8.7	12.0	6.4	50.9	614.2	
9.3	10.0	10.0	53.1	429.6		10.5	5.8	13.7	61.3	150.5	
9.5	9.9	8.9	51.3	419.5		8.1	9.0	8.8	48.8	350.0	
14.0	5.0	14.4	75.4	117.2		7.4	7.5	10.2	40.8	245.0	
5.5	11.2	12.3	35.2	533.5		11.8	9.2	11.1	68.5	368.5	
14.5	5.6	5.0	76.3	142.1		10.0	11.3	10.2	55.0	543.6	
10.7	5.4	10.9	63.3	131.1		9.9	11.7	8.2	54.6	577.1	
