  % x1      x2       x3       x4      x5
11.1	11.8	27.9	384.2	155.2
13.7	7.7	33.9	173.3	130.9
5.5	7.9	18.1	164.6	110.0
11.7	8.4	31.1	205.8	137.0
10.6	4.1	29.2	58.9	98.7
7.4	12.9	21.4	465.7	157.0
9.1	10.7	23.7	319.3	139.5
10.7	8.5	26.8	197.0	126.7
17.2	12.7	40.1	455.2	179.1
15.5	6.6	38.6	132.7	134.0
7.3	9.8	20.4	269.6	127.4
16.1	9.5	39.6	254.1	160.0
11.5	10.6	28.6	311.6	147.0
9.9	10.6	27.5	316.0	151.0
11.4	8.3	28.9	194.6	128.5
9.6	9.9	24.8	280.2	134.4
9.8	9.7	25.3	259.8	134.9
13.0	11.3	32.8	352.4	158.7
12.8	12.2	32.1	426.5	164.2
12.8	12.2	31.7	409.8	163.2
11.3	8.3	30.2	199.9	133.7
7.6	10.2	21.9	297.0	136.3
11.4	7.6	29.5	167.6	126.7
13.3	7.8	34.3	162.1	135.2
11.0	10.0	27.8	274.5	139.9
12.1	13.1	31.4	476.5	173.9
11.5	8.5	30.2	204.5	134.8
9.4	10.7	24.9	316.0	143.3
10.6          9.5           27.9        259.8         139.5
8.4            12.2         22.1        412.3        147.2
